"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","+2 Mace","afr","Near Mint","English","","","2022-02-27 05:10:19.183000","1","False","False",""
"1","1","A Realm Reborn","fin","Near Mint","English","","","2025-06-07 00:02:50.853000","196","False","False",""
"1","1","A.I.M. Scientists","msh","Near Mint","English","foil","","2026-06-21 06:41:13.907000","44","False","False",""
"3","3","Aang, A Lot to Learn","tle","Near Mint","English","","","2025-12-06 18:58:53.977000","146","False","False",""
"1","1","Aang, Swift Savior // Aang and La, Ocean's Fury","tla","Near Mint","English","foil","","2025-11-16 06:15:35.363000","204","False","False",""
"2","2","Aang, the Last Airbender","tla","Near Mint","English","","","2025-12-27 05:31:36.703000","4","False","False",""
"2","2","Aang's Iceberg","tla","Near Mint","English","","","2025-12-27 05:32:18.923000","5","False","False",""
"2","2","Aang's Journey","tla","Near Mint","English","","","2025-12-08 17:38:37.803000","1","False","False",""
"1","1","Abandon Reason","j25","Near Mint","English","","","2024-12-06 20:48:28.577000","513","False","False",""
"1","1","Abandoned Air Temple","tla","Near Mint","English","","","2025-12-27 05:45:04.477000","263","False","False",""
"1","1","Abandoned Campground","dsk","Near Mint","English","","","2024-09-21 06:06:51.347000","255","False","False",""
"1","1","Abandoned Sarcophagus","c20","Near Mint","English","","","2022-02-26 05:26:15.367000","236","False","False",""
"1","1","Abbey Griffin","isd","Near Mint","English","","","2022-02-27 05:15:02.480000","1","False","False",""
"1","1","Aberrant","40k","Near Mint","English","","","2022-11-22 05:18:31.840000","86","False","False",""
"1","1","Aberrant Mind Sorcerer","afr","Near Mint","English","","","2022-02-27 18:42:38.280000","44","False","False",""
"1","1","Abhorrent Overlord","ths","Near Mint","English","","","2022-02-26 18:07:58.853000","75","False","False",""
"1","1","Abigale, Eloquent First-Year","ecl","Near Mint","English","","","2026-02-14 07:32:37.530000","204","False","False",""
"1","1","Abnormal Endurance","m19","Near Mint","English","","","2022-02-26 18:06:55.580000","85","False","False",""
"1","1","Aboleth Spawn","clb","Near Mint","English","","","2023-12-24 21:27:41.177000","662","False","False",""
"1","1","Abomination, Terrifying Titan","msh","Near Mint","English","","","2026-06-21 06:59:44.363000","198","False","False",""
"1","1","Abrade","cmm","Near Mint","English","","","2023-08-05 16:56:39.340000","203","False","False",""
"1","1","Abrade","lci","Near Mint","English","","","2023-11-11 04:48:48.697000","131","False","False",""
"1","1","Abrade","hou","Near Mint","English","","","2025-12-24 21:17:27.507000","83","False","False",""
"1","1","Abrade","vow","Near Mint","English","","","2024-11-09 18:25:26.320000","139","False","False",""
"1","1","Abraded Bluffs","otj","Near Mint","English","","","2024-04-14 04:08:17.743000","251","False","False",""
"1","1","Abrupt Decay","rtr","Near Mint","English","","","2026-03-05 03:19:02.547000","141","False","True",""
